 epsilon =   9.99999993922529029E-009
 iteration:          500
 relative error =   5.49501557818211526E-004
 iteration:         1000
 relative error =   1.70323743169829037E-004
 iteration:         1500
 relative error =   6.12114540364069084E-005
 iteration:         2000
 relative error =   2.25384304266846509E-005
 iteration:         2500
 relative error =   8.35964535153492275E-006
 iteration:         3000
 relative error =   3.10882879600908660E-006
 iteration:         3500
 relative error =   1.15725940385589347E-006
 iteration:         4000
 relative error =   4.30946077248999775E-007
 iteration:         4500
 relative error =   1.60499662089030660E-007
 iteration:         5000
 relative error =   5.97788124169836941E-008
 iteration:         5500
 relative error =   2.22653038927788791E-008
 iteration:         5905
   1   1 0.00034207
   2   1 0.00068280
   3   1 0.00102082
   4   1 0.00135482
   5   1 0.00168348
   6   1 0.00200548
   7   1 0.00231958
   8   1 0.00262452
   9   1 0.00291910
  10   1 0.00320216
  11   1 0.00347259
  12   1 0.00372931
  13   1 0.00397131
  14   1 0.00419764
  15   1 0.00440740
  16   1 0.00459977
  17   1 0.00477398
  18   1 0.00492936
  19   1 0.00506528
  20   1 0.00518121
  21   1 0.00527669
  22   1 0.00535135
  23   1 0.00540489
  24   1 0.00543709
  25   1 0.00544784
  26   1 0.00543709
  27   1 0.00540489
  28   1 0.00535135
  29   1 0.00527669
  30   1 0.00518121
  31   1 0.00506528
  32   1 0.00492936
  33   1 0.00477398
  34   1 0.00459977
  35   1 0.00440740
  36   1 0.00419764
  37   1 0.00397131
  38   1 0.00372931
  39   1 0.00347259
  40   1 0.00320216
  41   1 0.00291910
  42   1 0.00262452
  43   1 0.00231958
  44   1 0.00200548
  45   1 0.00168348
  46   1 0.00135482
  47   1 0.00102082
  48   1 0.00068280
  49   1 0.00034207
   1   2 0.00068550
   2   2 0.00136829
   3   2 0.00204568
   4   2 0.00271499
   5   2 0.00337360
   6   2 0.00401889
   7   2 0.00464831
   8   2 0.00525940
   9   2 0.00584972
  10   2 0.00641696
  11   2 0.00695888
  12   2 0.00747333
  13   2 0.00795829
  14   2 0.00841184
  15   2 0.00883219
  16   2 0.00921769
  17   2 0.00956680
  18   2 0.00987817
  19   2 0.01015054
  20   2 0.01038286
  21   2 0.01057420
  22   2 0.01072381
  23   2 0.01083110
  24   2 0.01089565
  25   2 0.01091719
  26   2 0.01089565
  27   2 0.01083110
  28   2 0.01072381
  29   2 0.01057420
  30   2 0.01038286
  31   2 0.01015054
  32   2 0.00987817
  33   2 0.00956680
  34   2 0.00921769
  35   2 0.00883219
  36   2 0.00841184
  37   2 0.00795829
  38   2 0.00747333
  39   2 0.00695888
  40   2 0.00641696
  41   2 0.00584972
  42   2 0.00525940
  43   2 0.00464831
  44   2 0.00401889
  45   2 0.00337360
  46   2 0.00271499
  47   2 0.00204568
  48   2 0.00136829
  49   2 0.00068550
   1   3 0.00103162
   2   3 0.00205918
   3   3 0.00307860
   4   3 0.00408588
   5   3 0.00507703
   6   3 0.00604815
   7   3 0.00699539
   8   3 0.00791503
   9   3 0.00880343
  10   3 0.00965709
  11   3 0.01047263
  12   3 0.01124685
  13   3 0.01197668
  14   3 0.01265924
  15   3 0.01329184
  16   3 0.01387199
  17   3 0.01439739
  18   3 0.01486597
  19   3 0.01527588
  20   3 0.01562550
  21   3 0.01591345
  22   3 0.01613861
  23   3 0.01630007
  24   3 0.01639720
  25   3 0.01642962
  26   3 0.01639720
  27   3 0.01630007
  28   3 0.01613861
  29   3 0.01591345
  30   3 0.01562550
  31   3 0.01527588
  32   3 0.01486597
  33   3 0.01439739
  34   3 0.01387199
  35   3 0.01329184
  36   3 0.01265924
  37   3 0.01197668
  38   3 0.01124685
  39   3 0.01047263
  40   3 0.00965709
  41   3 0.00880343
  42   3 0.00791503
  43   3 0.00699539
  44   3 0.00604815
  45   3 0.00507703
  46   3 0.00408588
  47   3 0.00307860
  48   3 0.00205918
  49   3 0.00103162
   1   4 0.00138182
   2   4 0.00275820
   3   4 0.00412368
   4   4 0.00547289
   5   4 0.00680051
   6   4 0.00810128
   7   4 0.00937008
   8   4 0.01060190
   9   4 0.01179189
  10   4 0.01293533
  11   4 0.01402772
  12   4 0.01506476
  13   4 0.01604234
  14   4 0.01695661
  15   4 0.01780395
  16   4 0.01858104
  17   4 0.01928479
  18   4 0.01991244
  19   4 0.02046150
  20   4 0.02092980
  21   4 0.02131551
  22   4 0.02161710
  23   4 0.02183337
  24   4 0.02196347
  25   4 0.02200690
  26   4 0.02196347
  27   4 0.02183337
  28   4 0.02161710
  29   4 0.02131551
  30   4 0.02092980
  31   4 0.02046150
  32   4 0.01991244
  33   4 0.01928479
  34   4 0.01858104
  35   4 0.01780395
  36   4 0.01695661
  37   4 0.01604234
  38   4 0.01506476
  39   4 0.01402772
  40   4 0.01293533
  41   4 0.01179189
  42   4 0.01060190
  43   4 0.00937008
  44   4 0.00810128
  45   4 0.00680051
  46   4 0.00547289
  47   4 0.00412368
  48   4 0.00275820
  49   4 0.00138182
   1   5 0.00173748
   2   5 0.00346810
   3   5 0.00518503
   4   5 0.00688151
   5   5 0.00855082
   6   5 0.01018639
   7   5 0.01178175
   8   5 0.01333062
   9   5 0.01482688
  10   5 0.01626462
  11   5 0.01763818
  12   5 0.01894212
  13   5 0.02017131
  14   5 0.02132090
  15   5 0.02238633
  16   5 0.02336342
  17   5 0.02424831
  18   5 0.02503750
  19   5 0.02572787
  20   5 0.02631671
  21   5 0.02680169
  22   5 0.02718090
  23   5 0.02745284
  24   5 0.02761643
  25   5 0.02767103
  26   5 0.02761643
  27   5 0.02745284
  28   5 0.02718090
  29   5 0.02680169
  30   5 0.02631671
  31   5 0.02572787
  32   5 0.02503750
  33   5 0.02424831
  34   5 0.02336342
  35   5 0.02238633
  36   5 0.02132090
  37   5 0.02017131
  38   5 0.01894212
  39   5 0.01763818
  40   5 0.01626462
  41   5 0.01482688
  42   5 0.01333062
  43   5 0.01178175
  44   5 0.01018639
  45   5 0.00855082
  46   5 0.00688151
  47   5 0.00518503
  48   5 0.00346810
  49   5 0.00173748
   1   6 0.00209999
   2   6 0.00419169
   3   6 0.00626685
   4   6 0.00831728
   5   6 0.01033488
   6   6 0.01231170
   7   6 0.01423992
   8   6 0.01611195
   9   6 0.01792039
  10   6 0.01965811
  11   6 0.02131825
  12   6 0.02289425
  13   6 0.02437990
  14   6 0.02576933
  15   6 0.02705707
  16   6 0.02823802
  17   6 0.02930753
  18   6 0.03026138
  19   6 0.03109579
  20   6 0.03180749
  21   6 0.03239366
  22   6 0.03285198
  23   6 0.03318066
  24   6 0.03337838
  25   6 0.03344438
  26   6 0.03337838
  27   6 0.03318066
  28   6 0.03285198
  29   6 0.03239366
  30   6 0.03180749
  31   6 0.03109579
  32   6 0.03026138
  33   6 0.02930753
  34   6 0.02823802
  35   6 0.02705707
  36   6 0.02576933
  37   6 0.02437990
  38   6 0.02289425
  39   6 0.02131825
  40   6 0.01965811
  41   6 0.01792039
  42   6 0.01611195
  43   6 0.01423992
  44   6 0.01231170
  45   6 0.01033488
  46   6 0.00831728
  47   6 0.00626685
  48   6 0.00419169
  49   6 0.00209999
   1   7 0.00247079
   2   7 0.00493183
   3   7 0.00737340
   4   7 0.00978588
   5   7 0.01215973
   6   7 0.01448560
   7   7 0.01675430
   8   7 0.01895687
   9   7 0.02108463
  10   7 0.02312918
  11   7 0.02508245
  12   7 0.02693674
  13   7 0.02868471
  14   7 0.03031948
  15   7 0.03183459
  16   7 0.03322407
  17   7 0.03448242
