 epsilon =  9.999999939225290E-09
 iteration:  34
  1  1    0.84001E-02
  2  1    0.13592E-01
  3  1    0.13592E-01
  4  1    0.84001E-02
  5  1    0.80731E-02
  6  1    0.13063E-01
  7  1    0.13063E-01
  8  1    0.80731E-02
  9  1    0.34256E-02
 10  1    0.55428E-02
 11  1    0.55428E-02
 12  1    0.34256E-02
 13  1    0.78176E-03
 14  1    0.12649E-02
 15  1    0.12649E-02
 16  1    0.78176E-03
  1  2    0.28736E-01
  2  2    0.46495E-01
  3  2    0.46495E-01
  4  2    0.28736E-01
  5  2    0.23550E-01
  6  2    0.38105E-01
  7  2    0.38105E-01
  8  2    0.23550E-01
  9  2    0.61562E-02
 10  2    0.99609E-02
 11  2    0.99609E-02
 12  2    0.61562E-02
 13  2    0.00000E+00
 14  2    0.00000E+00
 15  2    0.00000E+00
 16  2    0.00000E+00
  1  3    0.52775E-01
  2  3    0.85391E-01
  3  3    0.85391E-01
  4  3    0.52775E-01
  5  3    0.86928E-01
  6  3    0.14065E+00
  7  3    0.14065E+00
  8  3    0.86928E-01
  9  3    0.93969E-01
 10  3    0.15204E+00
 11  3    0.15204E+00
 12  3    0.93969E-01
 13  3    0.60232E-01
 14  3    0.97458E-01
 15  3    0.97458E-01
 16  3    0.60232E-01
  1  4    0.14433E+00
  2  4    0.23353E+00
  3  4    0.23353E+00
  4  4    0.14433E+00
  5  4    0.23417E+00
  6  4    0.37890E+00
  7  4    0.37890E+00
  8  4    0.23417E+00
  9  4    0.23587E+00
 10  4    0.38165E+00
 11  4    0.38165E+00
 12  4    0.23587E+00
 13  4    0.14642E+00
 14  4    0.23691E+00
 15  4    0.23691E+00
 16  4    0.14642E+00
