 epsilon =  9.999999939225290E-09
 iteration:  41
  1  1    0.94808E-02
  2  1    0.15340E-01
  3  1    0.15340E-01
  4  1    0.94808E-02
  5  1    0.15340E-01
  6  1    0.24821E-01
  7  1    0.24821E-01
  8  1    0.15340E-01
  9  1    0.15340E-01
 10  1    0.24821E-01
 11  1    0.24821E-01
 12  1    0.15340E-01
 13  1    0.94808E-02
 14  1    0.15340E-01
 15  1    0.15340E-01
 16  1    0.94808E-02
  1  2    0.26204E-01
  2  2    0.42399E-01
  3  2    0.42399E-01
  4  2    0.26204E-01
  5  2    0.42399E-01
  6  2    0.68604E-01
  7  2    0.68604E-01
  8  2    0.42399E-01
  9  2    0.42399E-01
 10  2    0.68604E-01
 11  2    0.68604E-01
 12  2    0.42399E-01
 13  2    0.26204E-01
 14  2    0.42399E-01
 15  2    0.42399E-01
 16  2    0.26204E-01
  1  3    0.62946E-01
  2  3    0.10185E+00
  3  3    0.10185E+00
  4  3    0.62946E-01
  5  3    0.10185E+00
  6  3    0.16479E+00
  7  3    0.16479E+00
  8  3    0.10185E+00
  9  3    0.10185E+00
 10  3    0.16479E+00
 11  3    0.16479E+00
 12  3    0.10185E+00
 13  3    0.62946E-01
 14  3    0.10185E+00
 15  3    0.10185E+00
 16  3    0.62946E-01
  1  4    0.14777E+00
  2  4    0.23910E+00
  3  4    0.23910E+00
  4  4    0.14777E+00
  5  4    0.23910E+00
  6  4    0.38688E+00
  7  4    0.38688E+00
  8  4    0.23910E+00
  9  4    0.23910E+00
 10  4    0.38688E+00
 11  4    0.38688E+00
 12  4    0.23910E+00
 13  4    0.14777E+00
 14  4    0.23910E+00
 15  4    0.23910E+00
 16  4    0.14777E+00
