before: itr =   1, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x(1, 2) =     0.23568E-01, x(1, 3) =     0.62549E-01
after: itr =   6, myrank =   1, x(1, 2) =     0.27078E-01, x(1, 3) =     0.62549E-01
before: itr =  11, myrank =   1, x(1, 2) =     0.26217E-01, x(1, 3) =     0.62372E-01
after: itr =  11, myrank =   1, x(1, 2) =     0.26755E-01, x(1, 3) =     0.62372E-01
before: itr =  16, myrank =   1, x(1, 2) =     0.26065E-01, x(1, 3) =     0.62901E-01
after: itr =  16, myrank =   1, x(1, 2) =     0.26250E-01, x(1, 3) =     0.62901E-01
before: itr =  21, myrank =   1, x(1, 2) =     0.26194E-01, x(1, 3) =     0.62943E-01
after: itr =  21, myrank =   1, x(1, 2) =     0.26207E-01, x(1, 3) =     0.62943E-01
before: itr =  26, myrank =   1, x(1, 2) =     0.26204E-01, x(1, 3) =     0.62946E-01
after: itr =  26, myrank =   1, x(1, 2) =     0.26204E-01, x(1, 3) =     0.62946E-01
before: itr =  31, myrank =   1, x(1, 2) =     0.26204E-01, x(1, 3) =     0.62946E-01
after: itr =  31, myrank =   1, x(1, 2) =     0.26204E-01, x(1, 3) =     0.62946E-01
before: itr =  36, myrank =   1, x(1, 2) =     0.26204E-01, x(1, 3) =     0.62946E-01
after: itr =  36, myrank =   1, x(1, 2) =     0.26204E-01, x(1, 3) =     0.62946E-01
before: itr =  41, myrank =   1, x(1, 2) =     0.26204E-01, x(1, 3) =     0.62946E-01
after: itr =  41, myrank =   1, x(1, 2) =     0.26204E-01, x(1, 3) =     0.62946E-01
