before: itr =   1, myrank =   0, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( 17, 2) =     0.00000E+00, x( 17, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( 18, 2) =     0.00000E+00, x( 18, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( 19, 2) =     0.00000E+00, x( 19, 3) =     0.00000E+00
before: itr =   1, myrank =   0, x( 20, 2) =     0.00000E+00, x( 20, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 17, 2) =     0.00000E+00, x( 17, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 18, 2) =     0.00000E+00, x( 18, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 19, 2) =     0.00000E+00, x( 19, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 20, 2) =     0.00000E+00, x( 20, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.80069E-01
before: itr =   6, myrank =   0, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.13529E+00
before: itr =   6, myrank =   0, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.14398E+00
before: itr =   6, myrank =   0, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.12416E+00
before: itr =   6, myrank =   0, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.80443E-01
before: itr =   6, myrank =   0, x(  1, 2) =     0.18799E-01, x(  1, 3) =     0.59934E-01
before: itr =   6, myrank =   0, x(  2, 2) =     0.32060E-01, x(  2, 3) =     0.10434E+00
before: itr =   6, myrank =   0, x(  3, 2) =     0.29126E-01, x(  3, 3) =     0.10990E+00
before: itr =   6, myrank =   0, x(  4, 2) =     0.38436E-01, x(  4, 3) =     0.11601E+00
before: itr =   6, myrank =   0, x(  5, 2) =     0.17062E-01, x(  5, 3) =     0.53423E-01
before: itr =   6, myrank =   0, x(  6, 2) =     0.41182E-02, x(  6, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x(  7, 2) =     0.66585E-02, x(  7, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x(  8, 2) =     0.43726E-02, x(  8, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x(  9, 2) =     0.74053E-02, x(  9, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x( 10, 2) =     0.37800E-02, x( 10, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x( 11, 2) =     0.79840E-03, x( 11, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x( 12, 2) =     0.15630E-02, x( 12, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x( 13, 2) =     0.14435E-02, x( 13, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x( 14, 2) =     0.14399E-02, x( 14, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x( 15, 2) =     0.11419E-02, x( 15, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x( 17, 2) =     0.00000E+00, x( 17, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x( 18, 2) =     0.00000E+00, x( 18, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x( 19, 2) =     0.00000E+00, x( 19, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x( 20, 2) =     0.00000E+00, x( 20, 3) =     0.00000E+00
after: itr =   6, myrank =   0, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.76529E-01
after: itr =   6, myrank =   0, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.12787E+00
