before: itr =   1, myrank =   0, x(1, 2) =     0.00000E+00, x(1, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x(1, 2) =     0.00000E+00, x(1, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x(1, 2) =     0.29145E-01, x(1, 3) =     0.94195E-01
after: itr =   6, myrank =   0, x(1, 2) =     0.29145E-01, x(1, 3) =     0.93573E-01
before: itr =  11, myrank =   0, x(1, 2) =     0.29473E-01, x(1, 3) =     0.94692E-01
after: itr =  11, myrank =   0, x(1, 2) =     0.29473E-01, x(1, 3) =     0.93351E-01
before: itr =  16, myrank =   0, x(1, 2) =     0.28715E-01, x(1, 3) =     0.93907E-01
after: itr =  16, myrank =   0, x(1, 2) =     0.28715E-01, x(1, 3) =     0.93986E-01
before: itr =  21, myrank =   0, x(1, 2) =     0.28735E-01, x(1, 3) =     0.93967E-01
after: itr =  21, myrank =   0, x(1, 2) =     0.28735E-01, x(1, 3) =     0.93969E-01
before: itr =  26, myrank =   0, x(1, 2) =     0.28736E-01, x(1, 3) =     0.93968E-01
after: itr =  26, myrank =   0, x(1, 2) =     0.28736E-01, x(1, 3) =     0.93969E-01
before: itr =  31, myrank =   0, x(1, 2) =     0.28736E-01, x(1, 3) =     0.93969E-01
after: itr =  31, myrank =   0, x(1, 2) =     0.28736E-01, x(1, 3) =     0.93969E-01
