before: itr =   1, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.53353E-01
after: itr =   6, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.53353E-01
before: itr =  11, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.52163E-01
after: itr =  11, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.52163E-01
before: itr =  16, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.52727E-01
after: itr =  16, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.52727E-01
before: itr =  21, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.52775E-01
after: itr =  21, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.52775E-01
before: itr =  26, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.52774E-01
after: itr =  26, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.52774E-01
before: itr =  31, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.52775E-01
after: itr =  31, myrank =   1, x(1, 2) =     0.00000E+00, x(1, 3) =     0.52775E-01
